tempo,mfcc_var,spectral_centroid_mean,spectral_flatness_mean,spectral_contrast_mean,onset_strength_mean,pitch_range,track
[161.49902344],716.9935,2655.461645539536,0.035007287,21.896636642899384,1.6321174,3854.4233,Kick It (1).wav
[86.1328125],792.4949,2625.322496830855,0.034904543,20.79328215277652,1.540898,3854.0645,2 Baddies (1).wav
[89.10290948],998.89026,2489.159388975876,0.0271718,21.70515666219637,1.593173,3854.3997,Ay yo (1).wav
[78.30255682],997.36536,2425.9992565478747,0.021734979,21.71557543907231,1.6213762,3854.0103,Cherry Bomb (1).wav
[151.99908088],2130.4578,2378.7610727267383,0.06390815,21.68868777016743,1.4175472,3854.2632,Simon Says (1).wav
[129.19921875],856.53986,2678.9541022160493,0.040721804,21.211774205379427,1.5155749,3854.317,Fact Check (1).wav
[151.99908088],1011.8571,2484.439279603185,0.024831831,23.202164300829548,1.8311701,3854.4197,Sticker (1).wav
